time (s)	det(V)
4361.795591	-0.896737	
4361.797589	-0.845730	
4361.799589	-0.822508	
4361.801590	-0.797870	
4361.803591	-0.778833	
4361.807589	-0.757659	
4361.809590	-0.715928	
4361.811590	-0.688830	
4361.813590	-0.664756	
4361.815591	-0.643110	
4361.817591	-0.619463	
4361.819590	-0.599456	
4361.821590	-0.582121	
4361.823590	-0.561175	
4361.825589	-0.543281	
4361.827591	-0.523919	
4361.829589	-0.503001	
4361.833589	-0.484586	
4361.835591	-0.447761	
4361.837590	-0.434585	
4361.839590	-0.421692	
4361.841589	-0.408367	
4361.843590	-0.394516	
4361.847588	-0.375054	
4361.849589	-0.347685	
4361.851589	-0.332431	
4361.855590	-0.322776	
4361.857590	-0.297001	
4361.859590	-0.287735	
4361.861590	-0.271842	
4361.863589	-0.259196	
4361.867588	-0.249050	
4361.869589	-0.232120	
4361.873590	-0.224153	
4361.875591	-0.205635	
4361.877590	-0.193822	
4361.879590	-0.183053	
4361.881589	-0.176016	
4361.885588	-0.165825	
4361.887589	-0.156322	
4361.889590	-0.149614	
4361.893590	-0.143901	
4361.895591	-0.126112	
4361.897589	-0.118385	
4361.899590	-0.113399	
4361.901590	-0.105329	
4361.903589	-0.104446	
4361.907590	-0.100858	
4361.911589	-0.093008	
4361.913590	-0.077415	
4361.915597	-0.074135	
4361.917589	-0.066944	
4361.919589	-0.065862	
4361.923589	-0.064664	
4361.925590	-0.062036	
4361.927590	-0.055649	
4361.929589	-0.049705	
4361.931591	-0.046450	
4361.933590	-0.041772	
4361.935589	-0.038908	
4361.937589	-0.040766	
4361.939590	-0.037742	
4361.941590	-0.035547	
4361.943590	-0.035737	
4361.945590	-0.031208	
4361.949589	-0.029179	
4361.951591	-0.022011	
4361.953590	-0.023842	
4361.955590	-0.022914	
4361.957589	-0.020622	
4361.959589	-0.021560	
4361.963588	-0.016958	
4361.965589	-0.016130	
4361.967589	-0.010486	
4361.971590	-0.014571	
4361.973590	-0.011160	
4361.975590	-0.012936	
4361.977590	-0.010593	
4361.979589	-0.006731	
4361.983589	-0.006447	
4361.987589	-0.007404	
4361.989590	-0.008019	
4361.991591	-0.006389	
4361.993590	-0.006147	
4361.995590	-0.003251	
4361.997591	-0.001781	
4362.001589	-0.001926	
4362.003590	-0.005666	
4362.005590	-0.006763	
4362.009590	-0.005923	
4362.011590	-0.000888	
4362.013589	0.001143	
4362.015590	-0.000366	
4362.017588	0.002582	
4362.019589	0.000443	
4362.023589	-0.002994	
4362.027590	-0.005336	
4362.029590	0.001816	
4362.031592	0.002183	
4362.033589	0.003317	
4362.035590	0.003374	
4362.039589	0.000397	
4362.041590	-0.002312	
4362.043590	-0.002645	
4362.045590	0.001028	
4362.047590	0.002400	
4362.049592	0.003718	
4362.051590	0.006765	
4362.053590	0.002016	
4362.055590	0.001151	
4362.057590	0.002210	
4362.059590	-0.001612	
4362.061589	0.000872	
4362.065590	0.002885	
4362.067591	0.005634	
4362.069590	0.003592	
4362.071589	0.002532	
4362.073588	0.004072	
4362.075590	0.001205	
4362.079588	0.002905	
4362.081589	0.002652	
4362.083589	0.004902	
4362.087590	0.004427	
4362.089590	0.002968	
4362.091590	0.003066	
4362.093590	0.001869	
4362.095591	0.004687	
4362.099589	0.006165	
4362.101590	0.005661	
